algo,n,rep,hauteur,prof_feuilles,taille_gauche,time_ms
Remy,50,1,18,9.1373,11,0.1040
ABR,50,1,11,7.0000,13,0.0360
Remy,50,2,19,9.2157,0,0.0679
ABR,50,2,10,6.3333,25,0.0341
Remy,50,3,16,11.2157,0,0.0689
ABR,50,3,11,7.0196,23,0.0319
Remy,50,4,25,12.8235,48,0.0682
ABR,50,4,12,7.3333,1,0.0329
Remy,50,5,18,9.9412,1,0.0679
ABR,50,5,9,6.3725,21,0.0331
Remy,50,6,14,8.4510,48,0.0689
ABR,50,6,10,6.4902,13,0.0341
Remy,50,7,17,10.3922,49,0.0691
ABR,50,7,11,6.6667,27,0.0329
Remy,50,8,13,8.3529,0,0.0682
ABR,50,8,11,7.1569,41,0.0710
Remy,50,9,16,9.6863,38,0.7570
ABR,50,9,14,7.7647,4,0.3359
Remy,50,10,17,10.2157,0,0.3171
ABR,50,10,12,7.7255,2,0.1881
Remy,50,11,17,10.6078,49,0.1509
ABR,50,11,11,7.4314,6,0.0510
Remy,50,12,13,7.7647,1,0.1221
ABR,50,12,11,6.9804,41,0.0451
Remy,50,13,14,9.2157,49,0.3190
ABR,50,13,11,7.2549,1,0.0520
Remy,50,14,17,10.7255,0,0.0858
ABR,50,14,9,6.5098,15,0.0420
Remy,50,15,21,11.1373,47,0.1142
ABR,50,15,11,7.1765,35,0.1051
Remy,50,16,15,9.3333,0,0.1500
ABR,50,16,11,6.4902,29,0.0539
Remy,50,17,19,10.6275,49,0.1030
ABR,50,17,11,7.7451,1,0.0520
Remy,50,18,17,8.8431,47,0.1020
ABR,50,18,13,7.7451,43,0.0379
Remy,50,19,16,10.0392,0,0.0801
ABR,50,19,8,6.0196,23,0.0331
Remy,50,20,19,12.1765,0,0.0730
ABR,50,20,11,7.0000,35,0.0339
Remy,50,21,15,8.7255,33,0.1121
ABR,50,21,10,6.3529,17,0.0300
Remy,50,22,14,9.6471,49,0.0520
ABR,50,22,11,6.9804,9,0.0281
Remy,50,23,15,8.5294,21,0.0422
ABR,50,23,13,8.5490,1,0.0281
Remy,50,24,15,8.5882,2,0.0432
ABR,50,24,9,6.5294,44,0.0279
Remy,50,25,18,10.4510,0,0.0510
ABR,50,25,10,6.6471,14,0.0291
Remy,50,26,18,10.9412,49,0.0410
ABR,50,26,9,6.3529,40,0.0260
Remy,50,27,21,11.7451,3,0.0410
ABR,50,27,13,7.5686,10,0.0269
Remy,50,28,20,10.7843,49,0.0391
ABR,50,28,9,6.6471,31,0.0341
Remy,50,29,16,11.2157,0,0.0670
ABR,50,29,11,7.1176,14,0.0329
Remy,50,30,25,12.9216,49,0.0401
ABR,50,30,9,6.4706,20,0.0248
Remy,50,31,16,8.6078,4,0.0961
ABR,50,31,11,7.6863,42,0.0558
Remy,50,32,19,9.9608,45,0.0699
ABR,50,32,11,7.6667,5,0.0300
Remy,50,33,20,11.4510,0,0.0429
ABR,50,33,10,6.5294,34,0.0341
Remy,50,34,13,8.9216,46,0.0682
ABR,50,34,9,6.4706,25,0.0420
Remy,50,35,15,9.3137,25,0.0811
ABR,50,35,11,6.8235,9,0.0360
Remy,50,36,18,9.6275,5,0.0648
ABR,50,36,11,6.8039,8,0.0288
Remy,50,37,20,10.3333,0,0.0401
ABR,50,37,10,6.6667,11,0.0250
Remy,50,38,19,10.0784,5,0.0401
ABR,50,38,12,7.4510,29,0.0260
Remy,50,39,13,8.4118,1,0.0379
ABR,50,39,13,8.0196,40,0.0260
Remy,50,40,15,9.8627,0,0.0391
ABR,50,40,13,7.4510,43,0.0269
Remy,50,41,18,11.6863,49,0.0391
ABR,50,41,10,7.0000,37,0.0250
Remy,50,42,17,8.9020,4,0.0532
ABR,50,42,9,6.6863,27,0.0260
Remy,50,43,20,9.8431,48,0.0379
ABR,50,43,14,8.1373,1,0.0260
Remy,50,44,17,9.2745,0,0.0379
ABR,50,44,9,6.7059,18,0.0269
Remy,50,45,15,9.8627,0,0.0379
ABR,50,45,9,6.4118,19,0.0250
Remy,50,46,20,12.9020,0,0.0391
ABR,50,46,9,6.5490,22,0.0260
Remy,50,47,15,9.8235,48,0.0391
ABR,50,47,11,6.5098,17,0.0250
Remy,50,48,18,11.0392,0,0.0410
ABR,50,48,10,6.4314,27,0.0262
Remy,50,49,17,10.4314,49,0.0379
ABR,50,49,9,7.0196,0,0.0370
Remy,50,50,17,10.4118,49,0.1142
ABR,50,50,11,6.5490,10,0.0300
Remy,100,1,22,13.6634,0,0.0870
ABR,100,1,14,8.0792,47,0.0250
Remy,100,2,24,12.2970,1,0.0648
ABR,100,2,13,8.6931,92,0.0250
Remy,100,3,28,15.5545,99,0.0749
ABR,100,3,14,8.4950,77,0.0269
Remy,100,4,24,12.8218,99,0.0660
ABR,100,4,12,7.8119,39,0.0260
Remy,100,5,24,13.6238,0,0.0651
ABR,100,5,14,8.4059,44,0.0260
Remy,100,6,31,19.4950,0,0.0660
ABR,100,6,12,7.9901,63,0.0262
Remy,100,7,23,12.6733,8,0.0660
ABR,100,7,12,7.8713,22,0.0250
Remy,100,8,25,12.8713,0,0.0658
ABR,100,8,12,7.6931,72,0.0250
Remy,100,9,30,14.3960,2,0.0651
ABR,100,9,13,8.0198,16,0.0260
Remy,100,10,27,14.4257,98,0.0660
ABR,100,10,12,7.6337,44,0.0260
Remy,100,11,36,17.4455,0,0.0648
ABR,100,11,16,8.7228,84,0.0248
Remy,100,12,23,13.2079,97,0.0651
ABR,100,12,13,8.3069,59,0.0250
Remy,100,13,23,13.9703,1,0.0651
ABR,100,13,12,8.4554,6,0.0300
Remy,100,14,18,10.9901,6,0.0660
ABR,100,14,15,8.6337,89,0.0248
Remy,100,15,20,12.4455,3,0.0961
ABR,100,15,14,9.2376,73,0.0350
Remy,100,16,26,14.0693,0,0.1070
ABR,100,16,17,8.9604,6,0.0360
Remy,100,17,27,14.4158,99,0.1230
ABR,100,17,14,8.4356,6,0.0379
Remy,100,18,24,13.7822,99,0.1521
ABR,100,18,15,10.0594,97,0.0370
Remy,100,19,20,11.4752,99,0.1059
ABR,100,19,12,8.1386,7,0.0370
Remy,100,20,25,13.0198,6,0.1328
ABR,100,20,15,8.2376,23,0.0589
Remy,100,21,24,13.6535,99,0.1321
ABR,100,21,13,9.2772,2,0.0451
Remy,100,22,23,15.2871,99,0.1850
ABR,100,22,14,8.2772,17,0.0498
Remy,100,23,20,11.2277,3,0.1369
ABR,100,23,12,7.6634,50,0.0639
Remy,100,24,20,12.3762,99,0.1452
ABR,100,24,12,7.8911,50,0.0470
Remy,100,25,36,18.2970,0,0.1421
ABR,100,25,12,8.1386,28,0.0501
Remy,100,26,27,13.3762,98,0.7322
ABR,100,26,14,8.7624,5,0.1211
Remy,100,27,33,18.7129,3,0.2949
ABR,100,27,14,8.8119,22,0.0520
Remy,100,28,24,11.9307,32,0.1371
ABR,100,28,11,8.1683,74,0.0420
Remy,100,29,22,12.4554,99,0.1180
ABR,100,29,16,10.4653,97,0.0360
Remy,100,30,26,14.8812,98,0.0820
ABR,100,30,14,8.4653,95,0.0319
Remy,100,31,29,15.2970,0,0.0842
ABR,100,31,13,8.7525,15,0.0310
Remy,100,32,23,12.6832,99,0.1140
ABR,100,32,11,7.4950,21,0.0520
Remy,100,33,27,14.9604,2,0.0830
ABR,100,33,13,8.4653,31,0.0300
Remy,100,34,20,14.0594,0,0.0789
ABR,100,34,12,8.3168,69,0.0300
Remy,100,35,21,12.8416,1,0.1340
ABR,100,35,12,8.1584,3,0.0379
Remy,100,36,29,15.7030,5,0.1020
ABR,100,36,13,8.8119,0,0.0322
Remy,100,37,22,12.9307,69,0.0741
ABR,100,37,13,8.3564,14,0.0291
Remy,100,38,18,10.8317,92,0.0730
ABR,100,38,13,7.8911,48,0.0300
Remy,100,39,24,14.0099,0,0.0749
ABR,100,39,15,9.0396,27,0.0291
Remy,100,40,23,12.2178,97,0.0749
ABR,100,40,14,8.5347,50,0.0291
Remy,100,41,20,12.1881,0,0.1030
ABR,100,41,12,7.6931,62,0.0288
Remy,100,42,26,14.6931,0,0.0660
ABR,100,42,12,7.8911,64,0.0269
Remy,100,43,28,17.4455,99,0.0780
ABR,100,43,11,7.9802,59,0.0269
Remy,100,44,40,17.1980,99,0.0670
ABR,100,44,12,7.8614,69,0.0260
Remy,100,45,20,12.0198,95,0.0682
ABR,100,45,12,7.6238,54,0.0269
Remy,100,46,22,12.0891,97,0.0789
ABR,100,46,14,8.6733,79,0.0262
Remy,100,47,25,13.5644,99,0.0672
ABR,100,47,13,8.2079,49,0.0272
Remy,100,48,24,13.8614,18,0.0808
ABR,100,48,14,8.8614,95,0.0288
Remy,100,49,17,10.5050,1,0.0892
ABR,100,49,12,7.7030,46,0.0319
Remy,100,50,23,13.7426,98,0.0651
ABR,100,50,14,7.8416,77,0.0920
Remy,200,1,25,13.7861,0,0.1979
ABR,200,1,18,9.4925,50,0.0291
Remy,200,2,24,16.2189,199,0.2091
ABR,200,2,16,9.2289,44,0.0319
Remy,200,3,34,18.1244,199,0.1910
ABR,200,3,16,9.3881,148,0.0300
Remy,200,4,27,16.8308,0,1.0700
ABR,200,4,14,9.0498,157,0.5841
Remy,200,5,29,17.8259,199,0.3848
ABR,200,5,15,9.3980,84,0.0541
Remy,200,6,29,16.5473,199,0.3231
ABR,200,6,14,9.6617,51,0.0789
Remy,200,7,37,21.1144,196,0.4511
ABR,200,7,15,9.5323,62,0.0589
Remy,200,8,30,14.4677,196,0.3569
ABR,200,8,15,9.6020,28,0.0610
Remy,200,9,29,14.9403,198,0.3750
ABR,200,9,15,9.1841,25,0.0582
Remy,200,10,31,14.8756,31,0.2301
ABR,200,10,16,10.3582,3,0.0310
Remy,200,11,31,16.9502,2,0.2081
ABR,200,11,15,9.9950,174,0.0310
Remy,200,12,28,15.9154,0,0.1941
ABR,200,12,16,9.5721,153,0.0319
Remy,200,13,32,19.0896,199,0.2060
ABR,200,13,14,8.9552,161,0.0300
Remy,200,14,36,18.7413,199,0.1929
ABR,200,14,16,9.8706,159,0.0281
Remy,200,15,34,18.4975,199,0.1950
ABR,200,15,15,9.0149,117,0.0310
Remy,200,16,25,14.4080,2,0.1931
ABR,200,16,17,10.7164,45,0.0281
Remy,200,17,36,17.7463,1,0.1910
ABR,200,17,20,10.1891,53,0.0279
Remy,200,18,24,13.7960,186,0.1831
ABR,200,18,15,9.3781,158,0.0281
Remy,200,19,25,13.9254,199,0.1979
ABR,200,19,16,9.9701,39,0.0288
Remy,200,20,35,21.4826,199,0.2730
ABR,200,20,15,9.8806,97,0.0331
Remy,200,21,26,14.9502,196,0.1841
ABR,200,21,15,9.7015,58,0.0279
Remy,200,22,44,20.9104,0,0.1919
ABR,200,22,14,9.7413,50,0.0279
Remy,200,23,36,17.5174,197,0.1941
ABR,200,23,17,10.1393,177,0.0281
Remy,200,24,34,17.4577,199,0.1819
ABR,200,24,17,9.8856,159,0.0291
Remy,200,25,27,15.0995,0,0.1900
ABR,200,25,14,9.0746,131,0.0279
Remy,200,26,34,18.7910,0,0.2699
ABR,200,26,15,10.1343,52,0.0451
Remy,200,27,32,18.3333,0,0.3300
ABR,200,27,17,9.6517,23,0.0470
Remy,200,28,30,16.0149,197,0.3510
ABR,200,28,18,10.1841,190,0.0460
Remy,200,29,39,19.5871,1,0.3152
ABR,200,29,14,9.5821,171,0.0398
Remy,200,30,28,15.5622,199,0.1881
ABR,200,30,18,10.6020,6,0.0329
Remy,200,31,25,15.3532,2,0.2081
ABR,200,31,15,9.4925,69,0.0310
Remy,200,32,38,21.0448,0,0.9339
ABR,200,32,19,9.9005,178,0.0730
Remy,200,33,35,19.1741,199,0.3741
ABR,200,33,19,10.6269,172,0.0870
Remy,200,34,27,14.4577,1,0.3710
ABR,200,34,17,10.8706,164,0.0460
Remy,200,35,31,17.8507,198,0.2270
ABR,200,35,15,9.6368,86,0.0350
Remy,200,36,29,14.3881,2,0.2019
ABR,200,36,15,9.7065,197,0.0319
Remy,200,37,30,15.5075,199,0.2019
ABR,200,37,18,9.6119,69,0.0300
Remy,200,38,32,15.7313,199,0.1988
ABR,200,38,14,9.3781,91,0.0300
Remy,200,39,35,18.1990,0,0.1879
ABR,200,39,15,9.8010,45,0.0288
Remy,200,40,32,18.2139,0,0.1950
ABR,200,40,14,9.1891,58,0.0291
Remy,200,41,34,15.1493,199,0.1972
ABR,200,41,15,9.4030,24,0.0288
Remy,200,42,39,20.0050,199,0.2029
ABR,200,42,18,9.2637,116,0.0319
Remy,200,43,24,14.7512,187,0.1960
ABR,200,43,16,9.7264,64,0.0300
Remy,200,44,40,20.3781,3,0.2019
ABR,200,44,16,10.7512,183,0.0291
Remy,200,45,46,21.2537,199,0.2768
ABR,200,45,18,9.8955,138,0.0350
Remy,200,46,30,14.1791,199,0.1962
ABR,200,46,16,10.0547,151,0.0291
Remy,200,47,29,16.0647,197,0.1960
ABR,200,47,17,9.6965,156,0.0300
Remy,200,48,28,17.0896,199,0.1872
ABR,200,48,16,9.7363,52,0.0288
Remy,200,49,31,19.0796,0,0.1969
ABR,200,49,15,8.9254,97,0.0300
Remy,200,50,36,18.8756,198,0.2129
ABR,200,50,13,8.8756,107,0.0339
Remy,500,1,51,27.2814,499,1.1439
ABR,500,1,22,12.5609,425,0.0498
Remy,500,2,51,25.9481,499,1.0650
ABR,500,2,23,11.9042,175,0.0470
Remy,500,3,43,21.8503,450,1.1001
ABR,500,3,18,11.0439,119,0.0498
Remy,500,4,64,31.2176,0,1.6980
ABR,500,4,18,11.6447,364,0.0570
Remy,500,5,45,21.0080,498,1.3261
ABR,500,5,16,10.6068,262,0.0510
Remy,500,6,47,26.7206,498,3.0510
ABR,500,6,19,12.0279,493,0.2251
Remy,500,7,35,17.5110,499,3.3858
ABR,500,7,17,11.3333,104,0.0751
Remy,500,8,40,21.0798,494,1.6711
ABR,500,8,19,11.3693,382,0.1018
Remy,500,9,46,23.0719,490,1.9290
ABR,500,9,19,11.4092,121,0.0639
Remy,500,10,37,20.1078,499,1.4830
ABR,500,10,20,12.3533,194,0.0510
Remy,500,11,40,20.0100,496,1.0831
ABR,500,11,20,12.2754,480,0.0410
Remy,500,12,43,23.5908,499,1.0121
ABR,500,12,17,10.4910,112,0.0360
Remy,500,13,38,21.7665,0,1.1430
ABR,500,13,20,11.5429,348,0.0479
Remy,500,14,52,26.2515,0,1.0538
ABR,500,14,20,11.5988,137,0.0360
Remy,500,15,43,23.7745,499,2.3890
ABR,500,15,19,11.9381,171,0.2470
Remy,500,16,52,25.6487,2,1.9882
ABR,500,16,19,11.0379,143,0.1090
Remy,500,17,42,22.3134,477,2.5342
ABR,500,17,17,10.9701,159,0.0429
Remy,500,18,48,24.9341,7,1.0741
ABR,500,18,16,10.8343,252,0.0420
Remy,500,19,55,28.0459,7,1.0478
ABR,500,19,25,12.0858,230,0.0420
Remy,500,20,49,25.9501,0,1.0831
ABR,500,20,21,12.1597,7,0.0420
Remy,500,21,44,22.7784,499,1.0490
ABR,500,21,18,10.8862,275,0.0360
Remy,500,22,46,23.0359,0,1.0560
ABR,500,22,17,10.9880,360,0.0420
Remy,500,23,48,27.5868,0,1.6949
ABR,500,23,20,11.6387,54,0.0560
Remy,500,24,43,20.5050,455,2.1501
ABR,500,24,17,11.2415,439,0.0908
Remy,500,25,48,26.0379,1,1.4429
ABR,500,25,22,11.7725,360,0.0520
Remy,500,26,44,20.9581,13,1.1570
ABR,500,26,20,11.7804,97,0.0451
Remy,500,27,50,25.5429,498,1.1671
ABR,500,27,20,12.3473,9,0.0470
Remy,500,28,32,19.7186,499,1.2970
ABR,500,28,18,11.1337,144,0.0470
Remy,500,29,43,20.9341,1,1.1790
ABR,500,29,19,11.8922,23,0.0470
Remy,500,30,50,26.5609,2,1.0982
ABR,500,30,20,12.4691,40,0.0360
Remy,500,31,39,23.5170,465,1.0190
ABR,500,31,18,11.4631,362,0.0401
Remy,500,32,42,21.0639,3,1.1129
ABR,500,32,21,11.4192,158,0.0420
